,HD_ID,Customer_ID,Name,Gender,Age,State,Profession,Pro_Cust_Flag,Wage_Band,Cred_Score,Senior_Citizen_Flag,Marital_Status_Flag,Account_Activation
0,ZSGRGB,C0865224,Malinda Jones,F,38,RI,Others,0,HIGH,800-850,0,0,1995-01-06 11:33:00
1,SQZUTR,C3307839,Fritz Aeschliman,M,38,NM,Others,0,HIGH,740-799,0,0,1995-01-08 00:25:00
2,SAFMFJ,C4018108,Shannon Jones,M,38,OR,Others,0,LOW,670-739,0,1,1995-01-09 15:36:00
3,DPRFZB,C0855934,Ruth Lawson,F,38,SD,Others,0,MED,800-850,0,0,1995-01-09 19:52:00
4,GNYROL,C9536452,Irvin Miracle,M,38,UT,Others,0,HIGH,670-739,0,1,1995-01-16 10:36:00
5,YUSRGE,C1114704,Kevin Hale,M,38,MO,Others,0,LOW,580-669,0,0,1995-01-17 04:26:00
6,IGKQSN,C6892998,Kathy Putman,F,38,KY,Others,0,MED,670-739,0,1,1995-01-25 02:55:00
7,PMYGAQ,C9298590,Nancy Haley,F,38,NY,Others,0,LOW,300-579,0,0,1995-01-26 03:45:00
8,QJAOFV,C0615010,Marguerite Taylor,F,38,OR,Others,0,MED,670-739,0,0,1995-02-07 23:11:00
9,YEJTWZ,C2571956,Robert Ivey,M,38,VT,Others,0,MED,800-850,0,1,1995-02-17 02:18:00
10,BTHTUW,C2364899,Pa Fisher,F,38,IL,Others,0,MED,800-850,0,1,1995-02-19 08:06:00
11,QGZLGQ,C8572946,Suzanne Johnson,F,38,NV,Others,0,HIGH,670-739,0,1,1995-02-22 11:12:00
12,VJGTNP,C1689721,Anna Johnson,F,38,WA,Others,0,LOW,580-669,0,0,1995-02-23 03:54:00
13,WEMCOR,C6077175,Paul Phillips,M,38,TX,Others,0,MED,740-799,0,1,1995-02-25 06:26:00
14,TJINIJ,C5353668,Veronica Gentry,F,38,PA,Others,0,LOW,580-669,0,1,1995-02-27 11:59:00
15,NVAGEG,C4958381,Darrel Bidwell,M,38,AR,Others,0,LOW,580-669,0,1,1995-03-06 05:00:00
16,SCROBS,C7914349,Carol Pettit,F,38,AZ,Others,0,HIGH,800-850,0,1,1995-03-07 00:11:00
17,RVUSLS,C4007403,Romelia Sandmann,F,38,ID,Others,0,MED,670-739,0,1,1995-03-07 10:21:00
18,KKGWGK,C0582716,Dawn Wheeler,F,38,MI,Others,0,LOW,670-739,0,1,1995-03-08 01:23:00
19,OHVYOG,C7634088,Shane Smith,M,38,WV,Others,0,HIGH,740-799,0,1,1995-03-08 15:30:00
20,WNVVZB,C2304403,Garry Casillas,M,38,CA,Others,0,MED,800-850,0,1,1995-03-10 18:47:00
21,PFVQLD,C3161280,Tony Williams,M,38,ND,Others,0,LOW,300-579,0,0,1995-03-15 02:50:00
22,IENIIK,C4572693,Graciela Matthews,F,38,VT,Others,0,MED,670-739,0,0,1995-03-20 12:48:00
23,FOXDOL,C3774848,George Scolaro,M,38,AR,Others,0,MED,670-739,0,1,1995-03-22 01:52:00
24,NFQIFU,C3604770,Carl Swenson,M,38,MO,Others,0,LOW,300-579,0,1,1995-03-23 04:13:00
25,PITWWN,C8083745,Antionette Clack,F,38,MO,Others,0,MED,670-739,0,1,1995-03-23 17:50:00
26,WCFJHG,C3042758,Mae Keisel,F,38,NY,Others,0,HIGH,800-850,0,1,1995-03-25 14:49:00
27,NXKCYC,C2912242,Arthur Holt,M,38,MN,Others,0,HIGH,670-739,0,0,1995-03-27 05:56:00
28,KEZSLX,C2991278,Mildred Garza,F,38,KS,Others,0,HIGH,670-739,0,1,1995-03-27 10:32:00
29,TZWXNM,C5576631,William Palomo,M,38,UT,Others,0,HIGH,800-850,0,0,1995-03-30 09:09:00
30,VJLMNJ,C2079817,Hilda Enlow,F,38,VT,Others,0,LOW,670-739,0,0,1995-03-31 23:31:00
31,ZTQFFM,C6151464,Steve Cianciolo,M,38,WV,Others,0,HIGH,740-799,0,0,1995-04-04 12:50:00
32,MHDPUX,C5396797,William Huey,M,38,LA,Others,0,MED,670-739,0,0,1995-04-05 06:45:00
33,IYDTOR,C8821063,Shirley Fleshman,F,38,AK,Others,0,HIGH,670-739,0,1,1995-04-06 01:07:00
34,FXXAAM,C5584148,Maria Clark,F,38,SD,Others,0,LOW,300-579,0,1,1995-04-07 03:46:00
35,WNNVCC,C5184095,Charmaine Silverman,F,38,AK,Others,0,LOW,670-739,0,1,1995-04-07 22:36:00
36,WIIESK,C6217942,Nancy Walls,F,38,NJ,Others,0,MED,740-799,0,1,1995-04-08 17:06:00
37,JSCWZG,C8131318,Mary Oneal,F,38,ID,Others,0,HIGH,740-799,0,0,1995-04-15 09:15:00
38,SOAXUC,C7296932,Lucio Deal,M,38,ID,Others,0,LOW,300-579,0,0,1995-04-16 20:30:00
39,DIUTRH,C1221631,Emily Switzer,F,38,SD,Others,0,HIGH,740-799,0,1,1995-04-17 00:01:00
40,UXXVHT,C0765033,Dana Jones,F,38,NV,Others,0,MED,800-850,0,0,1995-04-17 08:56:00
41,QFYXBR,C3564278,Karen Alonzo,F,38,DE,Others,0,LOW,670-739,0,0,1995-04-26 14:16:00
42,XCUMGL,C3079367,Terence Bender,M,38,IN,Others,0,MED,740-799,0,1,1995-04-29 17:27:00
43,BGVNLO,C4208311,Karen Rhyne,F,38,VA,Others,0,HIGH,740-799,0,0,1995-05-02 18:29:00
44,KDQEQI,C1058928,Helen Elderidge,F,38,CO,Others,0,MED,670-739,0,1,1995-05-04 09:38:00
45,MMPKZY,C2580144,Omar Smith,M,38,FL,Others,0,HIGH,740-799,0,0,1995-05-06 23:17:00
46,CDQNCF,C8809755,Jeannie Tucker,F,38,MT,Others,0,HIGH,670-739,0,1,1995-05-07 22:10:00
47,DSITTW,C5000978,Paula Stovall,F,38,MA,Others,0,LOW,300-579,0,1,1995-05-08 04:37:00
48,LOSKIZ,C6210132,Louis Clark,M,38,GA,Others,0,LOW,300-579,0,1,1995-05-11 10:59:00
49,YEVYHM,C6781429,Paula Allmon,F,38,AL,Others,0,MED,800-850,0,1,1995-05-11 12:19:00
50,UZXIST,C2775445,Patrick Quiggle,M,38,SC,Others,0,LOW,580-669,0,1,1995-05-15 07:30:00
51,MJHYES,C1798056,Ellen Marshall,F,38,RI,Others,0,MED,800-850,0,1,1995-05-21 14:08:00
52,CMQVVY,C3224142,Donald Mckendrick,M,38,ND,Others,0,MED,740-799,0,0,1995-05-24 19:34:00
53,CRDKYA,C4724770,Julio Kirby,M,38,WV,Others,0,HIGH,670-739,0,1,1995-05-25 00:36:00
54,JDUVDT,C4514973,Joseph Vandermoon,M,38,AK,Others,0,HIGH,800-850,0,0,1995-05-29 19:31:00
55,UVPEYA,C3629515,Sabrina Dunson,F,38,VA,Others,0,HIGH,670-739,0,1,1995-05-30 22:30:00
56,YGOSWL,C1330598,David Severance,M,38,PA,Others,0,LOW,580-669,0,0,1995-06-08 00:29:00
57,MTLDMZ,C6149012,Eddie Large,M,38,OR,Others,0,MED,670-739,0,1,1995-06-09 19:54:00
58,IXRPFO,C2433555,Horace Feaster,M,38,AK,Others,0,HIGH,740-799,0,0,1995-06-10 23:43:00
59,XOXBHL,C0901856,Michael Ross,M,38,CA,Others,0,LOW,670-739,0,1,1995-06-14 16:17:00
60,KKCMZM,C9531652,Chris Kresge,M,38,NV,Others,0,MED,740-799,0,0,1995-06-18 18:20:00
61,IEAFVL,C5435322,Bruce Johnson,M,38,GA,Others,0,HIGH,740-799,0,1,1995-06-21 05:44:00
62,SXLFBZ,C8460818,Christopher Sim,M,38,WV,Others,0,MED,800-850,0,1,1995-06-23 01:43:00
63,YSJUKE,C5685252,Christie Tanner,F,38,CA,Others,0,MED,670-739,0,1,1995-06-26 09:25:00
64,CVUCFI,C0806544,Douglas Ryan,M,38,MN,Others,0,HIGH,670-739,0,1,1995-06-27 07:49:00
65,DXDMJN,C1917028,Daniel Law,M,38,MS,Others,0,LOW,300-579,0,1,1995-06-27 23:51:00
66,SBKOTA,C7873295,Paula Benscoter,F,38,CA,Others,0,LOW,670-739,0,0,1995-07-02 04:06:00
67,EKMHME,C7052539,Cindy Sherman,F,38,WI,Others,0,LOW,300-579,0,0,1995-07-12 21:56:00
